heavy,city,ge_one,di,ai,bingers,shops_per_capita,beer,shops,pi,CBSA_population,drinking_places_per_capita,drinking_places,wine
4.7,New York,57.5,79.7,14.91,17.5,16.19,11.25,3167,10.77,19567410,13.63,2667,10.29
6.2,Los Angeles,66.4,92.2,9.22,19.6,10.92,8.98,1401,7.37,12828837,7.51,964,5.77
8.5,Chicago,62.9,94.9,13.94,23.5,11.34,11.03,1073,9.7,9461105,16.54,1565,8.37
7.3,Houston,57.4,83.5,8.27,18.8,6.18,8.63,366,8.01,5920416,10.35,613,7.39
7.3,Philadelphia,64,93.5,15.56,22.2,13.61,8.13,812,8.06,5965343,17.5,1044,7.99
7.2,Phoenix,58.2,84.1,5.55,18.7,3.12,7.66,131,7.2,4192887,7.97,334,6.75
9.7,San Antonio,62.3,93.7,11.55,21.7,7.47,8.45,160,6.77,2142508,15.64,335,5.08
7.2,San Diego,58.5,84.7,10.92,19,11.21,8.81,347,7.31,3095313,10.63,329,5.81
6.7,Dallas,57.3,81.2,6.94,17.2,6.46,8.67,415,8.07,6426214,7.42,477,7.47
4.7,San Jose,58.5,83.1,8.68,19.9,9.58,9.61,176,7.56,1836911,7.78,143,5.51
6.1,Indianapolis,57,81.5,13.06,18.4,12.71,8.22,240,6.3,1887877,13.4,253,4.39
9.7,Jacksonville,55.8,84.6,7.69,19.1,6.84,8.17,92,8.14,1345596,8.55,115,8.12
7.7,San Francisco,62.9,91.4,12.12,20.8,9.36,9.24,406,7.79,4335391,14.88,645,6.35
7.7,Austin,69.4,99.9,12.32,22.8,9.44,8.32,162,7.51,1716289,15.21,261,6.71
7.5,Columbus,59,86.7,13.28,20.2,7.52,7.99,143,8.32,1901974,19.03,362,8.64
7.3,Fort Worth,59.7,86.7,6.94,19.7,6.46,8.71,415,8.14,6426214,7.42,477,7.58
6.8,Charlotte,53,78,5.46,18.2,4.42,8.51,98,8.94,2217012,6.5,144,9.38
4.9,Detroit,55.8,77.9,16.96,17.2,20.79,8.38,893,7.18,4296250,13.13,564,5.98
0,El Paso,0,0,12.06,0,6.59,8.47,53,8.12,802143,17.53,141,7.77
5,Memphis,45.6,62.5,7.89,11.9,11.1,8.14,147,8.68,1324829,4.68,62,9.22
0,Nashville,47.2,60,8.26,12.7,9.46,8.64,158,7.65,1670890,7.06,118,6.67
6.8,Baltimore,58.4,85.3,19.37,20.1,24.28,8.7,658,8.33,2710489,14.46,392,7.96
9.5,Boston,66.9,98.8,14.09,22.4,17.81,8.57,811,9.05,4552402,10.37,472,9.53
7.5,Seattle,62.1,90,9.04,20.4,5.44,8.99,187,8.57,3439809,12.65,435,8.15
6.6,Louisville,55.6,81.6,12.66,19.4,13.84,8.57,171,7.86,1235708,11.49,142,7.15
7.3,Washington,61.8,87.3,8.11,18.2,12.15,8.2,685,7.84,5636232,4.06,229,7.48
6.6,Denver,65.5,93.1,19.21,21,22.84,8.2,581,7.1,2543482,15.57,396,6
9,Milwaukee,67,102.3,20.76,26.3,8.29,7.89,129,6.65,1555908,33.23,517,5.41
7.2,Portland,61.2,85.8,13.16,17.4,4.99,9.18,111,10.24,2226009,21.34,475,11.29
6.1,Las Vegas,56.9,81.6,12.2,18.6,3.48,8.45,68,8.75,1951269,20.91,408,9.05
5.6,Oklahoma City,50.9,75.4,10.93,18.9,11.09,7.56,139,8.45,1252987,10.77,135,9.33
5.7,Albuquerque,55.8,78.5,4.23,17,3.27,8.7,29,8.08,887077,5.19,46,7.46
7,Tucson,58.6,82,6.63,16.4,3.16,8.44,31,8.34,980263,10.1,99,8.24
0,Fresno,0,0,8.01,0,9.78,8.18,91,7.03,930450,6.23,58,5.89
7.5,Sacramento,63.6,91.1,6.89,20,6.7,8.28,144,7.06,2149127,7.07,152,5.84
5.1,Long Beach,55.4,78,9.22,17.5,10.92,8.98,1401,7.37,12828837,7.51,964,5.77
5.7,Kansas City,57.1,82,11.67,19.2,11.25,8.13,226,7.59,2009342,12.09,243,7.06
7.2,Mesa,58.2,84.1,5.55,18.7,3.12,8.63,131,7.49,4192887,7.97,334,6.35
8,Virginia Beach,60.7,91.4,4.2,22.7,5.13,8.46,86,8.32,1676822,3.28,55,8.18
6.6,Atlanta,57.6,82.1,5.86,17.9,7.85,8.91,415,9.42,5286728,3.88,205,9.93
6,Colorado Springs,59.6,81.4,17.74,15.8,19.67,8.33,127,7.14,645613,15.8,102,5.96
8.7,Omaha,63.7,96.4,17.74,24,3.58,7.82,31,7.19,865350,31.89,276,6.56
7.6,Raleigh,61,87.2,5.75,18.6,4.69,8.38,53,8.53,1130490,6.81,77,8.68
4,Miami,57.4,75,8.23,13.6,8.03,8.1,447,7.94,5564635,8.43,469,7.78
5.8,Cleveland,59.6,84.6,14.71,19.2,7.22,8.08,150,9.09,2077240,22.19,461,10.11
4.8,Tulsa,46.8,67.2,10.4,15.6,9.6,8.26,90,7.75,937478,11.2,105,7.25
7.7,Oakland,62.9,91.4,12.12,20.8,9.36,9.34,406,7.73,4335391,14.88,645,6.12
7.8,Minneapolis,66.5,97.3,13.26,23,14.42,8.57,483,8.11,3348859,12.09,405,7.66
4.9,Wichita,50,70.3,11.9,15.4,5.95,8.02,9,7.68,151306,17.84,27,7.34
7.3,Arlington,59.7,86.7,6.94,19.7,6.46,8.83,415,8.57,6426214,7.42,477,8.32
